fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,m1_train_n_trades,m1_train_profit_factor,m1_train_win_rate,m1_train_trades_per_month,m1_train_avg_trade_pct,m1_train_total_return_pct,pass,fail_reason
1.2793430212987638,3.5,16,35,35,1.6,45,False,True,True,185,1.2793430212987638,57.2972972972973,1.326908576814326,0.06956824521200683,10.630622496393876,185,1.3253842844142887,55.67567567567567,1.326908576814326,0.04841236883654093,11.81948055844696,True,
1.2793430212987638,3.5,16,35,40,1.9,45,False,True,True,185,1.2793430212987638,57.2972972972973,1.326908576814326,0.06956824521200683,10.630622496393876,185,1.3253842844142887,55.67567567567567,1.326908576814326,0.04841236883654093,11.81948055844696,True,
1.2793430212987638,3.5,16,35,30,1.6,45,False,True,True,185,1.2793430212987638,57.2972972972973,1.326908576814326,0.06956824521200683,10.630622496393876,185,1.3253842844142887,55.67567567567567,1.326908576814326,0.04841236883654093,11.81948055844696,True,
1.278256903726099,4.5,16,35,35,1.6,45,False,True,True,185,1.278256903726099,57.2972972972973,1.326908576814326,0.06956824521200654,8.513581020322576,185,1.3264804590041388,55.67567567567567,1.326908576814326,0.048412368836539904,9.523484387532255,True,
1.2754785492686977,4.0,16,35,15,1.6,45,False,True,True,185,1.2754785492686977,57.2972972972973,1.326908576814326,0.06956824521200668,9.431136792183517,185,1.342342864784404,55.67567567567567,1.326908576814326,0.048412368836540556,11.027576935561301,True,
1.2754785492686977,4.0,16,35,35,1.6,45,False,True,True,185,1.2754785492686977,57.2972972972973,1.326908576814326,0.06956824521200668,9.431136792183517,185,1.342342864784404,55.67567567567567,1.326908576814326,0.048412368836540556,11.027576935561301,True,
1.2754785492686977,4.0,16,35,25,1.6,45,False,True,True,185,1.2754785492686977,57.2972972972973,1.326908576814326,0.06956824521200668,9.431136792183517,185,1.342342864784404,55.67567567567567,1.326908576814326,0.048412368836540556,11.027576935561301,True,
1.2754785492686977,4.0,16,35,40,1.5,45,False,True,True,185,1.2754785492686977,57.2972972972973,1.326908576814326,0.06956824521200668,9.431136792183517,185,1.342342864784404,55.67567567567567,1.326908576814326,0.048412368836540556,11.027576935561301,True,
1.2712115674136546,2.0,20,25,20,1.1,50,False,True,True,351,1.2712115674136546,56.41025641025641,2.517540056550424,0.07985569266975062,32.94706952037053,351,1.3652594272365017,56.41025641025641,2.517540056550424,0.08528276253102592,41.979680775659254,True,
1.2706988205068568,4.0,16,35,40,1.2,50,False,True,True,183,1.2706988205068568,57.377049180327866,1.3125636192271442,0.06959024711510883,9.267782966001162,183,1.334479375577198,55.73770491803278,1.3125636192271442,0.047947216805890015,10.765697281478023,True,
1.2706988205068568,4.0,16,35,40,1.5,50,False,True,True,183,1.2706988205068568,57.377049180327866,1.3125636192271442,0.06959024711510883,9.267782966001162,183,1.334479375577198,55.73770491803278,1.3125636192271442,0.047947216805890015,10.765697281478023,True,
1.270283797706735,4.5,16,35,40,1.1,50,False,True,True,183,1.270283797706735,57.377049180327866,1.3125636192271442,0.06959024711510912,8.26624737728876,183,1.3155074836846965,55.73770491803278,1.3125636192271442,0.047947216805890085,9.18869798877945,True,
1.270283797706735,4.5,16,35,15,1.3,50,False,True,True,183,1.270283797706735,57.377049180327866,1.3125636192271442,0.06959024711510912,8.26624737728876,183,1.3155074836846965,55.73770491803278,1.3125636192271442,0.047947216805890085,9.18869798877945,True,
1.2549427213463784,4.5,16,35,40,1.3,25,False,True,True,171,1.2549427213463784,56.72514619883041,1.2264938737040527,0.0703181167122192,7.0256536688277125,171,1.3289403009318035,55.55555555555556,1.2264938737040527,0.05038868351731454,8.467437645811822,True,
