fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,pass,fail_reason
3.121867465475663,2.5,16,35,40,1.6,50,True,True,False,22,3.121867465475663,72.72727272727273,0.15779453345900094,0.39450825194735234,7.696926862688991,False,htf_train n_trades=22.0000 <= 100.0
3.0919775409211816,5.0,16,35,40,1.6,45,True,True,True,20,3.0919775409211816,75.0,0.14344957587181903,0.4393290386612813,4.396499999999971,False,htf_train n_trades=20.0000 <= 100.0
3.0919775409211816,5.0,16,35,35,1.6,45,True,True,True,20,3.0919775409211816,75.0,0.14344957587181903,0.4393290386612813,4.396499999999971,False,htf_train n_trades=20.0000 <= 100.0
3.0919775409211816,5.0,16,35,40,1.7,45,True,True,True,20,3.0919775409211816,75.0,0.14344957587181903,0.4393290386612813,4.396499999999971,False,htf_train n_trades=20.0000 <= 100.0
3.0919775409211816,5.0,16,35,40,1.7,50,True,True,True,20,3.0919775409211816,75.0,0.14344957587181903,0.4393290386612813,4.396499999999971,False,htf_train n_trades=20.0000 <= 100.0
3.0882284437968948,2.0,16,35,45,1.7,50,True,True,True,19,3.0882284437968948,73.68421052631578,0.13627709707822808,0.4508562922586532,7.912254337073012,False,htf_train n_trades=19.0000 <= 100.0
3.0505880282604707,4.5,16,35,45,1.6,45,True,True,True,21,3.0505880282604707,76.19047619047619,0.15062205466540998,0.44243048320355505,4.8404042748180585,False,htf_train n_trades=21.0000 <= 100.0
3.0164327306499943,2.0,16,35,40,1.6,45,True,True,False,22,3.0164327306499943,72.72727272727273,0.15779453345900094,0.3945082519473496,8.035931157547822,False,htf_train n_trades=22.0000 <= 100.0
3.0162186062027345,4.0,16,35,30,1.5,50,True,True,True,24,3.0162186062027345,75.0,0.17213949104618284,0.42819653856594797,6.923029781700213,False,htf_train n_trades=24.0000 <= 100.0
3.0018257971347957,2.0,16,35,20,1.7,45,True,True,True,15,3.0018257971347957,66.66666666666666,0.10758718190386428,0.4531759248951185,6.055255716582598,False,htf_train n_trades=15.0000 <= 100.0
2.9864387944165767,3.5,16,35,40,1.7,45,True,True,False,22,2.9864387944165767,72.72727272727273,0.15779453345900094,0.3945082519473498,6.355945831491279,False,htf_train n_trades=22.0000 <= 100.0
2.9864387944165767,3.5,16,35,40,1.6,10,True,True,False,22,2.9864387944165767,72.72727272727273,0.15779453345900094,0.3945082519473498,6.355945831491279,False,htf_train n_trades=22.0000 <= 100.0
2.9864387944165767,3.5,16,35,40,1.6,50,True,True,False,22,2.9864387944165767,72.72727272727273,0.15779453345900094,0.3945082519473498,6.355945831491279,False,htf_train n_trades=22.0000 <= 100.0
2.984378995499272,4.0,16,35,40,1.5,15,True,True,True,21,2.984378995499272,71.42857142857143,0.15062205466540998,0.39923726857490793,5.053539535138846,False,htf_train n_trades=21.0000 <= 100.0
2.9478818982148534,5.0,16,35,40,1.6,45,True,True,False,22,2.9478818982148534,72.72727272727273,0.15779453345900094,0.3945082519473492,4.342218327500571,False,htf_train n_trades=22.0000 <= 100.0
2.9410347690695153,4.5,16,35,35,1.6,45,True,True,True,20,2.9410347690695153,75.0,0.14344957587181903,0.43932903866128226,4.581804274818062,False,htf_train n_trades=20.0000 <= 100.0
2.9410347690695153,4.5,16,35,40,1.7,45,True,True,True,20,2.9410347690695153,75.0,0.14344957587181903,0.43932903866128226,4.581804274818062,False,htf_train n_trades=20.0000 <= 100.0
2.9410347690695153,4.5,16,35,40,1.6,45,True,True,True,20,2.9410347690695153,75.0,0.14344957587181903,0.43932903866128226,4.581804274818062,False,htf_train n_trades=20.0000 <= 100.0
2.9410347690695153,4.5,16,35,40,1.6,50,True,True,True,20,2.9410347690695153,75.0,0.14344957587181903,0.43932903866128226,4.581804274818062,False,htf_train n_trades=20.0000 <= 100.0
2.936886121102209,3.0,16,35,40,1.5,20,True,True,True,22,2.936886121102209,68.18181818181817,0.15779453345900094,0.37299589202520256,6.347814714997796,False,htf_train n_trades=22.0000 <= 100.0
2.928985765602049,3.5,16,35,10,1.6,45,True,True,True,19,2.928985765602049,68.42105263157895,0.13627709707822808,0.4357101486519817,5.925173884703379,False,htf_train n_trades=19.0000 <= 100.0
2.916122237103612,4.0,16,35,35,1.5,45,True,True,True,23,2.916122237103612,73.91304347826086,0.1649670122525919,0.42488076311016226,6.578607707717982,False,htf_train n_trades=23.0000 <= 100.0
2.916122237103612,4.0,16,35,35,1.5,50,True,True,True,23,2.916122237103612,73.91304347826086,0.1649670122525919,0.42488076311016226,6.578607707717982,False,htf_train n_trades=23.0000 <= 100.0
2.866128447987046,4.5,16,35,30,1.5,50,True,True,False,27,2.866128447987046,74.07407407407408,0.1936569274269557,0.39903805126724096,6.114932106623466,False,htf_train n_trades=27.0000 <= 100.0
2.8630422691879605,5.0,16,35,10,1.6,45,True,True,False,19,2.8630422691879605,68.42105263157895,0.13627709707822808,0.43571014865198376,4.019699999999974,False,htf_train n_trades=19.0000 <= 100.0
2.8630422691879605,5.0,16,35,10,1.6,45,True,True,True,19,2.8630422691879605,68.42105263157895,0.13627709707822808,0.43571014865198376,4.019699999999974,False,htf_train n_trades=19.0000 <= 100.0
2.8471964331844966,3.5,16,35,35,1.6,40,True,True,True,19,2.8471964331844966,73.68421052631578,0.13627709707822808,0.4057233014728613,5.5460685447934495,False,htf_train n_trades=19.0000 <= 100.0
2.8273220403501895,5.0,16,35,35,1.6,40,True,True,True,19,2.8273220403501895,73.68421052631578,0.13627709707822808,0.40572330147285973,3.840299999999972,False,htf_train n_trades=19.0000 <= 100.0
2.8201354705847184,3.0,16,35,40,1.5,35,True,True,True,21,2.8201354705847184,71.42857142857143,0.15062205466540998,0.3602707824865597,5.645222772312019,False,htf_train n_trades=21.0000 <= 100.0
2.81974523893304,4.5,16,35,35,1.6,45,True,True,False,22,2.81974523893304,72.72727272727273,0.15779453345900094,0.39450825194734995,4.527700349909448,False,htf_train n_trades=22.0000 <= 100.0
